YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2020,Texas,TX,11350000.0,,22157381.0,12.2,128653.0,173864.0,110437.0,469794.0,,18982171.0,59.79,51.22
2020,Utah,UT,1515845.0,,2402151.0,5.9,5249.0,0.0,0.0,5249.0,,2255175.0,67.22,63.1
2020,Vermont,VT,370968.0,,531104.0,2.0,0.0,0.0,0.0,0.0,,520641.0,71.25,69.85
2020,Virginia,VA,4523142.0,,6785517.0,6.0,30620.0,33426.0,2017.0,76990.0,,6300717.0,71.79,66.66
2020,Washington,WA,4116894.0,,6079926.0,8.8,15056.0,37534.0,14536.0,79397.0,,5465496.0,75.33,67.71
2020,West Virginia,WV,802726.0,,1430595.0,0.9,6031.0,3246.0,3682.0,14021.0,,1403699.0,57.19,56.11
2020,Wisconsin,WI,3310000.0,,4621234.0,3.1,19846.0,19960.0,23174.0,69506.0,,4410780.0,75.04,71.63
2020,Wyoming,WY,278503.0,,448142.0,2.5,2034.0,2822.0,954.0,6733.0,,430161.0,64.74,62.15
2018,United States,,118581921.0,"117,069,210",253979028.0,7.5,1356822.0,1188516.0,438200.0,2983538.0,4971025.0,236918088.0,50.05,46.69
2018,Alabama,AL,1721906.0,"1,719,589",3802178.0,2.3,25907.0,29068.0,10266.0,65241.0,,3649487.0,47.18,45.29
2018,Alaska,AK,285009.0,"283,134",552149.0,3.51,4295.0,1182.0,1348.0,6825.0,,525944.0,54.19,51.62
2018,Arizona,AZ,2409910.0,"2,384,308",5559776.0,7.87,38571.0,43801.0,7536.0,89908.0,,5032314.0,47.89,43.35
2018,Arkansas,AR,898793.0,"891,509",2310569.0,3.64,17518.0,20930.0,24698.0,63146.0,,2163318.0,41.55,38.9
2018,California,CA,12712542.0,"12,464,235",30532421.0,14.57,104730.0,0.0,0.0,104730.0,,25979117.0,48.93,41.64
2018,Colorado,CO,2583580.0,"2,525,062",4451426.0,5.83,18914.0,0.0,10759.0,29673.0,,4162235.0,62.07,58.04
2018,Connecticut,CT,1421953.0,"1,406,803",2836517.0,7.59,13314.0,0.0,4452.0,17766.0,,2603459.0,54.62,50.13
2018,Delaware,DE,365467.0,"362,592",764575.0,5.13,5885.0,8080.0,350.0,14315.0,,711038.0,51.4,47.8
2018,District of Columbia,DC,231482.0,"224,658",575793.0,7.65,0.0,0.0,0.0,0.0,,531745.0,43.53,40.2
2018,Florida,FL,8318824.0,"8,220,561",17097477.0,9.36,91765.0,116869.0,4345.0,212979.0,,15284174.0,54.43,48.66
2018,Georgia,GA,3949905.0,"3,939,328",8040683.0,5.94,50963.0,237559.0,20426.0,308948.0,,7254119.0,54.45,49.12
2018,Hawaii,HI,398657.0,"390,843",1117235.0,8.21,5007.0,0.0,0.0,5007.0,,1020503.0,39.06,35.68
2018,Idaho,ID,612536.0,"605,131",1316753.0,4.0,8378.0,19603.0,5267.0,33248.0,,1230835.0,49.77,46.52
2018,Illinois,IL,4635541.0,"4,570,842",9863329.0,7.94,38464.0,0.0,0.0,38464.0,,9041717.0,51.27,47.0
2018,Indiana,IN,2308258.0,"2,282,565",5137998.0,3.65,26330.0,0.0,0.0,26330.0,,4924131.0,46.88,44.93
2018,Iowa,IA,1334279.0,"1,327,638",2422272.0,3.12,9219.0,16608.0,6652.0,32479.0,,2314218.0,57.66,55.08
2018,Kansas,KS,1060000.0,"1,055,566",2208263.0,4.67,9882.0,9379.0,5438.0,24699.0,,2080438.0,50.95,48.0
2018,Kentucky,KY,1612353.0,"1,569,798",3457567.0,2.53,23280.0,26771.0,15881.0,65932.0,,3304159.0,48.8,46.63
2018,Louisiana,LA,1519405.0,"1,460,585",3562345.0,2.88,32281.0,19964.0,29321.0,81566.0,,3378184.0,44.98,42.65
2018,Maine,ME,646013.0,"634,409",1090959.0,1.92,0.0,0.0,0.0,0.0,,1070013.0,60.37,59.22
2018,Maryland,MD,2335128.0,"2,304,512",4701240.0,8.07,18181.0,0.0,0.0,18181.0,,4303669.0,54.26,49.67
2018,Massachusetts,MA,2752665.0,"2,707,090",5525134.0,8.92,7772.0,0.0,0.0,7772.0,,5024520.0,54.78,49.82
2018,Michigan,MI,4341340.0,"4,250,585",7828901.0,3.27,38218.0,0.0,0.0,38218.0,,7534678.0,57.62,55.45
2018,Minnesota,MN,2611365.0,"2,596,879",4314700.0,4.02,9717.0,57043.0,7381.0,74141.0,,4067108.0,64.21,60.52
2018,Mississippi,MS,961025.0,"936,215",2275427.0,1.4,19258.0,15558.0,9866.0,44682.0,,2198889.0,43.71,42.23
2018,Missouri,MO,2442306.0,"2,442,289",4752240.0,2.28,30151.0,25006.0,19251.0,74408.0,,4569481.0,53.45,51.39
2018,Montana,MT,509213.0,"504,384",834674.0,1.35,3754.0,0.0,0.0,3754.0,,819652.0,62.13,61.01
2018,Nebraska,NE,706652.0,"698,417",1452363.0,4.74,5266.0,8490.0,958.0,14714.0,,1368807.0,51.63,48.66
2018,Nevada,NV,975980.0,"972,132",2355238.0,10.34,12420.0,7558.2,6492.0,26470.0,,2085237.0,46.8,41.44
2018,New Hampshire,NH,580568.0,"573,608",1098605.0,2.6,2635.0,0.0,0.0,2635.0,,1067406.0,54.39,52.85
